text,label,notes
"2 PM CDT Update: Texas is a literal Steam Bath today with dew points that are nearing 90°F (32°C) ￼this afternoon, an incredible level of moisture. 🌡️ 💦",records,
"Lovely Day for a Stroll in South Texas, isn't it?",questions,
The wetbulb temperature in Texas today is higher than Dubai.,records,
Heatwave,records,
Invest 92W out in the Western Pacific and look likes Japan going to get a typhoon there in the coming days,forecasts,
Different NWS forecast for same coordinates?,questions,
Rare freezing temperature in southern parts of africa,records,
Weather,observations,Not enough context and use observation instead of weather as label.
Wind Velocity captured from CVG radar last night during the Florence tornado,observations,
"Weather Watch June 18, 2026, for Southern NH, with Rick Gordon",forecasts,
What is this phenomenon?,questions,
"tornado warning for Beckley, WV",forecasts,
🌪️ Free Weather Tool Focusing On Severe Weather and Alerts,forecasts,
Flooding in southern Louisiana,observations,
"MeteoBlue is gone, what now?",questions,
help with weatherwise,questions,
Funny Glitch,questions,
Why is there a shadow in the sky?,questions,
Clouds over SW Ohio,observations,
I need help from someone who knows what they're doing,questions,
Inversion layer Fire Interaction.,observations,
What’s happening here?? Looks nothing like a hook echo or the typical velocity couplet.,questions,
Weather outlook for ATL 06/18/26,forecasts,
Velocity Radar Question,questions,
Sunbeams Breaking Through a Storm Front Over a Norwegian Fjord,observations,
Fog Wave in Brazil,observations,
Safety Question,questions,
"Brown-ish yellow clouds, the Sun is red, what the hell is going on?",questions,
Europeans visiting for the World Cup in the Midwest,observations,
Some flooding.,observations,
Disappointment or Lack of Luck?,questions,
The first Atlantic tropical storm of 2026 is here—and it used to be a Pacific cyclone,observations,
Tropical Storm Arthur - First Storm of Atlantic Season!,observations,
Super visible rainbow above a lake I saw in St. Germain Wisconsin a few days ago,observations,
What is this wave?,questions,
What kind of clouds are these?,questions,
"What's the difference between ""Storms could contain tornadoes."" and ""Damaging winds, large hail and possibly a tornado with some storms.""?",questions,
This is the type of weather I crave for,observations,
How serious is this IL storm? Working out of town right in the middle of it.,questions,
What are these clouds? Spotted over Champaign IL today,questions,
Sunrise rainbow,observations,
👋 Welcome to r/willittoday - Introduce Yourself and Read First!,questions,Not fit in any topics and goes to observations
What causes hydroplaning? And how can you prevent it? - UGA Today,questions,
What's something about lightning & clouds we don't yet understand?,questions,
Safest place in my home?,questions,
Anxiety about Thursday,questions,
"Weather Watch June 17, 2026, for Southern NH, with Rick Gordon",forecasts,
What causes these clouds?,questions,
Max South Texas Heat Indices,records,
Earlier this evening view from north Houston,observations,
Austin is going to be horrible this Thursday afternoon. I’ve never seen these conditions here…,forecasts,
GFS model shows tropical cyclone in eastern Pacific Ocean in July and might bring some moisture to SoCal,forecasts,
Severe Thunderstorm in SW Michigan Today,observations,
Shelf cloud?,questions,
entire June weather be like in Chicago & Illinois:,observations,
Why does the news exaggerate the weather?,questions,
Pressure Film Review From A Meteorologist... It's in the top 2 for most meteorologically accurate films of all-time (Opinion),observations,Not really an observation but more of a review. Consider changing the label to something like "reviews" or "analysis".
It could be a wild Wednesday.,forecasts,
Is Mexico alright?,questions,
OC: A storm is approaching,forecasts,
Bird (Turkey Vulture) flying past a Circumzenithal arc in SE Michigan last night,observations,
Day 2 moderate risk issued for Illinois/Indiana,forecasts,
Shelf cloud pic,observations,
Quick little video I put together documenting the last outbreak,observations,
"Did you know it is ALWAYS raining (or snowing) somewhere in the continental US all day and all night? At over 3 Million Square Miles, it’s always gonna be raining somewhere. Below is a sat weather picture (June 15, 2026) of a not-very rainy day overall.",observations,
"Weather Watch June 16, 2026, for Southern NH, with Rick Gordon",forecasts,
Live from the PNW,observations,
What do StormNet probabilities represent?,questions,
"Does Karamay, Xinjiang have the best climate of anywhere on Earth?",questions,
I’m not an expert on forecasts but can someone explain why TWC lists us in Nashville as having severe potential Thursday despite being outside risk zone on SPC?,questions,
What kind of cloud is this ?,questions,
What is this weird vertical cloud?,questions,
Lightning strikes One World Trade Center during a NYC thunderstorm,observations,
Illinois has had a rough year already and more tornadoes are possible Wednesday.,forecasts,
"BNSF train during a derecho in Cicero, IL 6/10/26",observations,
2026 Atlantic Hurricane Forecast Updated: Experts Predict Quieter Season,forecasts,
Absolutely silent!,observations,
Sun showing off behind a thunderhead,observations,
"Altocumulus clouds from yesterday in Goodland, KS on Frontier Ag SkyView",observations,
Major flood threat for Texas and Gulf states this week as tropical moisture supercharges storms,forecasts,
Scientists find success with AI hurricane forecasts — but what about when the ‘unprecedented’ happens?,questions   ,
"Weather Watch June 15, 2026, for Southern NH, with Rick Gordon",forecasts,
"Duluth NWS has updated their forecast tables to make them easier to read on mobile devices. High temperatures this week across northern MN and NW WI will be pleasant, mostly in the 70s.",forecasts,
Why do the clouds glow like that?,questions,
"I’ve never seen lightning like this before— York, PA",observations,
Why are thunderstorms not as common anymore?,questions,
Welp.. thats lovely 😓,observations,
"Just checking on everyone, how hot is your house right now?",questions,
UFC White House weather suffers thunderstorm threat for Freedom 250,forecasts,
Temperature Inversion and Low Cloud Layer Over a Norwegian Fjord,observations,
Weather apps have not changed or been improved for years; ever wonder what a modern one would look like?,questions,
European capital temperature extremes this week: June 7-14,records,
What sort of clouds are these beauties?,questions,
"Lightning caught when I was driving home at night in Chicago, IL 6/13!",observations,
UK hits 23°C - how long will the warm spell last?,questions,
06/08/26 Kansas Storm WRF Simulation (600m res),forecasts,
Incoming European heatwave,forecasts,
Moscow yesterday,observations,
Just heard lightning nearly 40 miles away from the main storm,observations,
is this normal?,questions,
Supercell with wall cloud in KS,observations,
Continuous thunder and lighting from Akron Ohio on June 10th 2026,observations,
Crazy colors night sky after storm in dc,observations,
World temperature extremes this week: June 6-13,records,
Another year headed for the record books.,forecasts,
"Haha, bus sunk into the water",observations,
Florida skies,observations,
Weather matters,observations,Not enough context and use observation instead of weather as label.
Caught this lightning with my phone,observations,
Downburst in suburban Tokyo yesterday,observations,
What is the windiest time or times of year in the area where you live?,questions,
Hail storm in Pawling ny on 6/11/26 at 4:30pm,observations,
US temperature extremes this week: June 5-12,records,
"Constant lightning happening over Quinter, KS (via Frontier Ag SkyView)",observations,
Thunderstorm over NE North Carolina,observations,
"Beautiful thundercloud sunset from Johnson City, TN",observations,
Heatwave,observations,More likely to be records but not enough context to be sure.
Confusing weather alert,questions,Pretty confusing and questions seems to fit better than forecasts.
Timelapse Cloud Movement - Chicago IL Tornado Warning 6/11/26,observations,
Interesting Cumulus cloud formation phenomenon,observations,
The smell of rain,questions,
What's the name of this phenomenon?,questions,
End of the Day Mammatus,observations,
Can AI forecast if snow will be fluffy or dense? Only with help from humans,questions,
Why is the weather app on iPhone so wrong?!,questions,
Wednesday's storms have been preliminary confirmed as a derecho,observations,
GribGrab – hourly weather chart for any city - feedback needed!,questions,
Current US West Coast Satellite View,observations,
"Washburn, Illinois VIOLENT TORNADO damage",observations,
"Shelf Cloud over Chantilly, VA 6/11/2026",observations,
"Weather Watch June 12, 2026, for Southern NH, with Rick Gordon",forecasts,
Sunrise over mountains,observations,
Where are the Rains?,questions,
Dark clouds,observations,
Auburn Indiana,observations,
Berkeley bolsters wildfire defenses with EMBER initiative as red flag weather looms,forecasts,
What is this??? Thunderstorm has a hollow sound and red flash,questions,
POV: it’s a torrential downpour and you do whatever it takes for your dog,observations,
"Lightning show from my front yard in Fenton, MO (St. Louis area) 9:28pm 6/11/2026",observations,
Shelf cloud in Wisconsin tonight before a storm,observations,
Saw a cloud shaped like a “5” on my son’s 5th birthday!,observations,
"Central Illinois, now after the storms.",observations,
"4K Timelapse Toronto Weather Shift: Sun, Storm Clouds & Heavy Rain Over Downtown 🍁 | June 11, 2026",observations,
(USA) Any weather radios that work on ZIP codes rather than SAME codes?,questions,
"For the past two days in NYC, there have been 100% forecasts of rain, thunderstorms, and even hail…yet it’s only been a rainless heat wave",questions,
Anyone here that survived Hurricanes Katrina or Ian?,questions,
"Pileus, overshooting top or something else?",questions,
Pics of wall cloud in Kirksville/LaPlata 06/10/26,observations,
"If you live in the Chicago area, all I can say is stay safe",forecasts,more like advice but forecasts is the best fit.
SupercellWX - Can someone help me with understanding some of the more advanced products/views?,questions,
Crazy weather last August.,observations,
What sort of phenomenon is happening in the American Midwest/Canada today?,questions,
Rain feels more acidic nowadays,observations,
Weather right now in my area,observations,
Any thunder warning apps?,questions,
"Storm chaser app, feedback request",questions,
Looking for a Calgary-Based Weather Enthusiast / Meteorology Co-Host (Volunteer),questions,
Which weather app is the most accurate?,questions,
"Rainy season brings a calm kind of beauty, where every drop refreshes the earth and every storm makes room for new growth.",observations,
The 12-month period ending in May saw unprecedented warmth.,records,
El Niño is here and could tip Earth to a new record hot year,forecasts,
"Bussolengo, Verona, Italy - Jun 10 2026 - Strong downburst winds caused severe damage in the area.",observations,
"El Nino has begun, scientists say, and could bring record heat",forecasts,
El Niño has formed. Forecasters expect a global weather powerhouse.,forecasts,
Weather update ?,forecasts,
"Weather Watch June 11, 2026, for Southern NH, with Rick Gordon",forecasts,
What are these anomalies?,questions,
Storm in Northeast Kansas with wind shear,observations,
"My Car Was Stuck By Lightning, AMA",observations,
"My Car Was Stuck By Lightning, AMA",observations,
"Frontier Ag SkyView Sunset (Goodland, KS; June 10, 2026)",observations,
Guys am i cooked tomorrow night?,questions,
Heat Warnings,forecasts,
The U.S. is getting hit with severe stormy weather—here’s what’s stewing in the atmosphere,forecasts,
yikes,observations,not fit in any of the four topics and observations is the best fit.
"June 10, 2026",observations,Maybe forecasts but not certain.
Weather Channel app is so wrong.,observations,
Currently preparing to sweat in places I didn’t know existed,forecasts,
Who farted?,questions,
I am loving the stormy weather here in Essex. This was shot this evening down at Alresford.,observations,
"Yesterday’s timelapse of a circumhorizon arc + blowing dust in Goodland, KS on Frontier Ag SkyView",observations,
Is it me or is the weather forecast WAY inaccurate now a days?,questions,
Does anyone what's happening here?,questions,
"Thurman, Colorado Stationary Supercell - May 21st, 2026",observations,
Frustrated with how the NWS handles Heat warnings,forecasts,
Mesocyclone? In Manitoba yesterday,observations,
Has more rain been recorded than the average of the whole month of June already in uk in only 10 days,questions,
"Weather Watch June 10, 2026, for Southern NH, with Rick Gordon",forecasts,
ELI5 Why does rain smell bad lately?,questions,
Misleading Info is annoying,observations,Not fit in any of the four topics and observations is the best fit.
"Do you think this is a tornado? June 9, 2026 taken from I-70 near Maple, KS",questions,
"Doppler appears to show a ""tree"" of precipitation ""growing"" out of South Dakota",forecasts,
What app is this?? I like the storm tracker but I do not recognize the app. It's not RadarOmega.,questions,
Carterville Georgia Lightning Party,observations,
What was this?,questions,
"What am I looking seeing in the night sky (outside Nice, France)?",questions,
"[OC] The town of Flagler, Colorado awaiting the delivery of free cooler ice from a supercell yesterday on June 8, 2026.",observations,
A volumetric view of the Eastern Pacific showing Cristina's current atmospheric trajectory.,forecasts,
"Dew point is not the ""lowest temperature"" right?",questions,
"Blowing dust approaching in Goodland, KS!",observations,
Clear sky's in the UK and Venus and Saturn looking good.,observations,
What is causing this?,questions,
Did this storm just fart a gust front out the back?,questions,
Can you predict your local weather better than the models?,questions,
how bad will the weather be on Thursday,forecasts,
How far out to trust weather forcasts,questions,
Evening Weather Update You Tuber Recomendations,questions,
Why Is Pleasant Hill that way?,questions,
"Weather Watch June 9, 2026, for Southern NH, with Rick Gordon",forecasts,
"Live look at the lightning storm over west of Goodland, KS on Frontier Ag SkyView",observations,
"Huh, well that's weird",observations,
"Storm rolling in 6/5/2026 (Two Rivers State Park, Nebraska)",forecasts,
NOAA predicts ‘below normal’ 2026 Atlantic hurricane season,forecasts,
A potentially interesting weather pattern coming up for Europe?,forecasts,
Thunderstorm could soak UFC Freedom 250 at White House fight night,forecasts,
Weather friends chime in,forecasts,
Our first summer heat wave will be a doozy.,forecasts,
Hot Take : Summer is the worst season of them all,observations,
Beautiful rainbow cloud i just spotted (Austria),observations,
Weather question: is Tuesday a good day to go to the fair?,questions,
White cloud at 7pm last night,observations,
The warnings in Canada reminded me of this footy I took during a similar system during my last visit to Winnipeg. I sat outside for three hours watching it drift past west of the city.,observations,
Guess the country and region from this climate data,observations,
"Weather Watch June 8, 2026, for Southern NH, with Rick Gordon",forecasts,
A Storm is Coming (time-lapse made by me),forecasts,
"Lightning I captured Fri night, northern Chicago burbs.",observations,
Nice little LP supercell I spotted,observations,
10th of June severe weather set-up,observations,
Storm Prediction Center PDS Severe Thunderstorm Watch 285 - Widespread damaging winds and scattered significant gusts to 100 mph likely; Scattered large hail and isolated very large hail events to 2 inches in diameter possible; A tornado or two possible,observations,
ECCC/PASPC issues first Extreme Risk since 2018,forecasts,
Will this produce a tornado?,questions,
"Somewhere on sea level in the tropics, dropped to -1°C this year’s winter",records,
Lightning in Western Massachusetts last night,observations,
Cloud structure I caught in DFW a few hours ago,observations,
Help me find an app that suits my needs?,questions,
